Date,Description,Amount,Type,Category
2024-01-15,Starbucks Coffee,4.50,Debit,Food
2024-01-14,Shell Gas Station,45.20,Debit,Transport
2024-01-13,Amazon Purchase,29.99,Debit,Shopping
2024-01-12,Salary Deposit,3000.00,Credit,Income
2024-01-11,Netflix Subscription,15.99,Debit,Entertainment
2024-01-10,Walmart Grocery,78.45,Debit,Food
2024-01-09,Uber Ride,12.30,Debit,Transport
2024-01-08,Electric Bill,89.67,Debit,Utilities
2024-01-07,Target Shopping,156.78,Debit,Shopping
2024-01-06,Restaurant Dinner,67.89,Debit,Food
2024-01-05,Gym Membership,49.99,Debit,Health
2024-01-04,Spotify Premium,9.99,Debit,Entertainment
2024-01-03,Bookstore Purchase,23.45,Debit,Education
2024-01-02,Insurance Payment,125.00,Debit,Insurance
2024-01-01,New Year Dinner,89.99,Debit,Food
