Date,Description,Amount,Type,Category
2024-01-15,Starbucks Coffee,₹150.00,Debit,Food
2024-01-14,Indian Oil Petrol Pump,₹1200.50,Debit,Transport
2024-01-13,Amazon India Purchase,₹2500.75,Debit,Shopping
2024-01-12,Salary Deposit,₹75000.00,Credit,Income
2024-01-11,Netflix Subscription,₹499.00,Debit,Entertainment
2024-01-10,Big Bazaar Grocery,₹1850.25,Debit,Food
2024-01-09,Ola Cab Ride,₹380.00,Debit,Transport
2024-01-08,Electricity Bill,₹2250.00,Debit,Utilities
2024-01-07,Myntra Shopping,₹4200.00,Debit,Shopping
2024-01-06,Restaurant Dinner,₹1650.00,Debit,Food
2024-01-05,Gym Membership,₹1500.00,Debit,Health
2024-01-04,Spotify Premium,₹299.00,Debit,Entertainment
2024-01-03,Bookstore Purchase,₹850.00,Debit,Education
2024-01-02,Insurance Payment,₹3500.00,Debit,Insurance
2024-01-01,New Year Dinner,₹3200.00,Debit,Food
